,Collocations,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
78,едва только,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0
79,еле-еле душа в теле,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0
80,ему и горюшка мало!,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0
81,железная дорога,0,1,1,1,0,0,1,0,0,0,0,1,1,0,1
82,за пояс заткнуть,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0
83,задать стрекача,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1
84,задний проход,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1
85,закадычный друг,1,1,1,0,0,0,1,0,0,0,0,0,1,0,1
86,заклятый враг,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
87,заморить червячка,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0
88,затронуть ... чувство чести/интересы/гордость,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0
89,знаем мы вашего брата!,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0
90,золотых дел мастер,0,0,1,1,0,1,1,0,0,0,0,0,1,0,1
91,и был таков!,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0
92,и в ус (себе) не дует,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0
93,и вся недолга!,0,0,1,1,1,0,1,1,1,1,0,0,0,1,1
94,и дешево и сердито!,0,0,1,1,1,0,1,0,0,0,1,0,0,1,0
95,и концы в воду,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0
96,и никаких/никакого/никакой...! (синтаксический фразеологизм),0,0,1,1,1,0,1,0,0,0,0,0,0,0,0
97,и пошел и пошел!,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0
98,и пошла писать губерния,0,0,1,1,1,0,1,1,0,0,0,0,0,1,0
99,и сучкой закусил,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0
100,игральные карты,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
